100-00-5	GSTA2;GSTM1;GSTM2;GSTP1
100-01-6	ALB;BCL2;C1S;CASP1;CASP3;CXCL8;CYP1A1;CYP1A2;DPP4;DPP7;DPP8;DPP9;IFNG;IL1B;IL2;KLK1;MPO
100-02-7	CYP2E1;SULT1A1;UGT1A6;UGT1A7;ACHE;ESR1
100-06-1	CXCL8;HMOX1
100-11-8	AKR1C2;ATF3;CXCL8;DNAJB4;GCLM;HMOX1;HSPA6;IL18;NQO1
100-14-1	GSTP1;GSTP2;GSTT1;GSTT3
100-17-4	CYP2A6
100-19-6	DHRS3
100-21-0	ALB;CCND1;CDK4;CDKN2A;CYP17;CYP19B;CYP4B1;PCNA;PLA2G4A;PTGES;PTGS2;RB1;SOD1;STAR
100-25-4	MAOB
100-33-4	KCNH2
100-39-0	CXCL8;CXCR4;HMOX1;IL1B;IL1R2;PMAIP1;TNFAIP6
100-40-3	ACHE;AHR;ALAD;CASP3;CAT;CYP2B1;CYP2E1;GST;KEAP1;P38A;PBGS;SOD1
100-41-4	BAX;BCL2;CYCS;CASP3;CASP9;CYP2E1
100-42-5	CYP2E1;CYP2F2;GSTM1;CYP2B2;CYP2B1;CYP1A2;GSTT1;GSTP1;EPHX1
100-43-6	GSTA2;GSTP1;TNF
100-46-9	AHR;MAOB
100-51-6	AKR1B1;AKR1B8;CYP2A6;CYP2B1;CYP2B2;CYP2C11;CYP2C6V1;CYP2E1;IL1A;LIF;OR43A;SULT1A1;SULT1A2;SULT1A3;SULT1B1;UGT2B1
100-52-7	AKR1B8;ALDH1A1;ALDH1A7;ALDH2;ALDH3A1;ALDH3B1;AR;CYP2A6;MT2;MYS;OBP2;OLFR151;OR43A;SLC2A1
100-55-0	AKR1B8
100-56-1	ALB
100-63-0	PTGS2
100-75-4	CYP2A6;CYP2E1;PARP1
100-83-4	ALDH2
100038-54-8	DRD2;DRD3
100045-68-9	GSTA2;GSTA3;GSTM1;GSTM2;GSTP1
100045-73-6	ACTA1
1001-13-4	EIF2S1;HSF1;SP1;SP3
10015-85-7	CYP3A2;CYP3A4;LCAT;PON1
1002-53-5	AKT1;CALM1;CASP1;CEBPA;CIDEC;CYBB;CYP19A1;FABP4;HSD11B2;IL1B;IL6;LEP;LPL;NOS1;NOS2;PPARG;PRKD1;RAF1;RAS;RELA;RXRA;TNF
10024-97-2	CNTF;GABRA4;GRIN2A;MTR;PLA2G7;POMC;REN2;STAT1;STAT3;XDH
10025-82-8	ALAD
10025-87-3	ACHE;BCHE
10025-91-9	CASP3;DDB1;MAPK1;MAPK3;SIRT1;XPA
10028-15-6	NOTCH3;IL6;TNF;TTPA;NOS2;CXCL2;CXCL1;CXCL8;IL1B;CCL2;LEP;NOTCH4;CCL11;IL10;MT1;PTGS2;NFKB1;HMOX1;CPE;IL13;IFNG;FN1;SFTPA1;TLR4;MT2
10028-22-5	ACO1;GOT1;GPT;HIF1A;RPE65
100304-60-7	OPRM1
10031-59-1	HMOX1
10041-19-7	DLK1;FABP4;PPARA;PPARD;PPARG
100427-26-7	AR;ESR1;INS;MAPK1;MAPK3;NR1H4;PDGFRB
10043-01-3	IL1B;MIR146A;APP;CASP1
10043-52-4	MMP2;MMP9;CCL2;TRPV1;UQCRFS1;TNF;NCF1;GPX3;GPX1
100438-92-4	ADIPOQ;CCL2;CYP2A5;EDN1;FECH;ICAM1;INS1;JUN;MAPK9;NFKB2;RELA
100449-07-8	ADRA2A
10048-13-2	MLH1;CDK1;CDC25C;CCNB1;CYP3A4
10049-05-5	CAT;PGR;ESR1
100572-96-1	MB
10058-44-3	TF;TFRC
10061-64-0	GPT;GSR;HIF1A;IL13;IL4;IL5;MAPK8;MAPK9;MMP2;MMP9;SULT1E1;VEGFA
10066-90-7	OGT
1007-28-9	ESR1;PDE4A;PDE5;POMC
100827-28-9	HMOX1
100828-16-8	FOS;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;PENK
10088-45-6	NR1I3
100929-53-1	ADORA1;ADORA2A;ADRA2C;ARRB2;CACNA1D;CALCA;CCKBR;CD8A;FOSB;IL2RA;ITGA2;MAPK1;MAPK3;OPRD1;OPRK1;OPRM1
100937-53-9	PYGM
100981-43-9	ABCB4;HRH2
100986-85-4	TNF
10099-58-8	HMOX1
100999-26-6	DRD1;FOSB
101-02-0	CASP3;PPARG
101-14-4	AKR1B10;ALB;CYP2A6;CYP2B1;CYP3A4;GCLC;GCLM;GPAT3;LIF;MPO;NAT2;PTGS1;PTGS2;SLC7A11;SQSTM1;SRXN1
101-20-2	CYP1A1;ESR1;NR1I3;CYP1B1;CYP19A1B;CYP2B10;AR;AHR;HSPA5
101-21-3	ABCC1;AHR;AR;CGB3;CYP3A4;NR1I2;PTGS2
101-26-8	ACHE;SOD2;TLR4;CORT;IL1B;IL6;IL10;BAX
101-31-5	SLC22A2
101-53-1	AR;NR1I3;UGT2B15
101-54-2	CYP1A1
101-77-9	G6PC;EGF;RBM3;HMOX1;NAT2;ENPEP;F2R;HAO2;FABP2;LY96;HOPX;SOX4;CTSS;VIM;CAR3;S100A11;ANXA5;CCNG1;S100A10;CP;CD44;CYP26A1;TMSB10;B9D1;RDH10
101-80-4	TPO
101-84-8	NR1I3
10102-06-4	CASP3;MT1;MT2;GHRL;CYP7A1;CXCL2;CAT;BAX
10102-18-8	TXNRD1;GPX1;GPX4;CAT;TNF;CASP3;NOS2;BCL2;JUN;SOD1;MIR125A;BAX;SELENOP;MAPK8;PTGS2;FOS;AKT1;IFNG;ICAM1;AR;SOD2;TXNRD2;IL6;NFE2L2;GSR
10102-43-9	NOS2;IFNG;TNF;NOS3;IL1B;CASP3;EDN1;AGT;SOD2;INS;TP53;CSF2;IL1A;HMOX1;NOS1;CSF1;XDH;BCL2;PPARG;SOD1;KNG1;CNR1;FASLG;APP;ITGB2
10102-44-0	IL4;OVAL;IL6;TNF;CAT;CXCL8
10102-45-1	EGF;CASP3;PARP1;CCND1;SOD2;BCL2;MAPK1;TP53;CDKN1A;E2F1;CTSD;MAPK3;BAX;CCNB1;BID;FAS;CASP8;PCNA
10103-46-5	CXCL10;CXCL12;EGR2
10108-64-2	HMOX1;CASP3;MAPK3;MAPK1;CAT;MT1;MT2;NFE2L2;TNF;MAPK8;JUN;BCL2;PARP1;AKT1;FOS;GSR;TP53;BAX;IL1B;CASP9;MT2A;MT3;CCND1;MT1A;DDIT3
1011-95-6	HSD11B2
10118-90-8	CASP3;BCL2;NOS2;HTT;TNF;MMP2;IL1B;CYCS;MMP9;CASP1;HIF1A;TGFB2;CASP12;APP;CASP9
10124-36-4	MTF1;PTGS2;CXCL8;MAPK1;MAPK3;IL6;HMOX1;CASP3;JUN;NDRG1;MAPK9;MAPK8;PARP1;HSF1;HSPA1A;CASP7;ACHE;TNF;GCLC;MT1E;CREB1;MT2A;FTL;CYP1A;MT2
10124-43-3	VEGFA
101246-68-8	ACHE;APP
10125-76-5	NAT2
101312-92-9	KCNH2
10138-52-0	TNF;IL6;TGFB1;CD68;MAPK1;MAPK3
10141-05-6	G6PD
101484-15-5	SCN4A
10152-76-8	CYP1A2;CYP2E1;CYP3A2
10159-53-2	ATM;PARP1;RAD51;BRCA1;GSTP1;CYP2B1;H2AX;XRCC6;PRKDC
10162-58-0	EIF4E
10176-66-6	ACHE
10182-84-0	ANGPT2;CCL2;CD40LG;CXCL8;EDN1;EGFR;FASLG;FN1;IL1B;JUN;MAPK1;MAPK3;NOS1;NOX2;NOX3;NOX4;POR;RELA;TGFB1;TNF
101828-21-1	CCL5;CXCL10;CXCL8;IL4;NFKBIA;SLC22A2;STAT1;TSLP
101908-22-9	VTG
101910-24-1	ALOX5;CYSLTR1;IL1B;INS;MMP9;PTGS2
101975-10-4	CDH2;GJA1;TJP1
102-02-3	HTR3A;TACR1
102-06-7	KCNH2;SLC22A2
102-08-9	EPHX1;GSTA2
102-32-9	ACTB;AKT1;CARTPT;CAT;COMT;GSTP1;GYS1;INSR;MAOB;NOS1;NQO1;NR3C1;NTS;OPRM1;PARP1;PTGS1;SLC22A8;SNCA;TFAM
102-37-4	AKT1;CDH2;CDK2;CDK4;ERBB2;FGFR1;ILK;ITGA3;ITGB1;KDR;MAPK1;MAPK3;RB1
102-61-4	CTNNB1
102-71-6	ALB;CXCL8;IFNG;IL2;KCNK18
102-76-1	BCL2;CASP3;CXCL8;CYP1A1;DDIT3;HMOX1
102-96-5	IL6
102040-03-9	BAX;BCL2
102052-95-9	MYC;DACT3;EZH2
102121-60-8	RARA;IRF1
102130-84-7	ABCB1
10215-77-7	MAPK1;MAPK14;MAPK3;MAPK8
10216-23-6	MAPK1;MAPK3;MYL9;PLD2;PRKCD
102191-05-9	TBXA2R
10236-47-2	TNF;BMP2;MAPK1;MAPK3;CDKN1A;HRAS;LEPR;IL6;CASP3;HMOX1;AKT1;IL1B;RAF1;CDK4;CAT;NFE2L2;CDK2;OVAL;SLCO1A2;GCLC;BGLAP;RUNX2;SPP1;TNFSF11;MMP9;CYP3A4;EGF;VCAM1;BAX;BCL2;IFNG;FOS;JUN;PTGS2;CCND1;ICAM1
10236-58-5	ALAD;CXCL8;FOS;GSTA2;GSTA3;GSTA5;GSTP1;N-TUTCA2;RELA
10238-21-8	CFTR;ABCB11;ABCC8;INS;CAT;ABCC9;ABCG2;IL6;TNF;INS1;IL1B
102394-31-0	CHRM2
102396-24-7	CCN2;CDH1;AHNAK;EIF4E;VIM;S100A1;SNAI1;CDH2;SEPTIN9;GDF15;TNF;CCN1;ACTG1;YAP1
102518-79-6	ABCB1;ABCB1A;ACHE;ALB;APP;BAX;BCL2;CASP3;CYP1A2;CYP3A2;CYP3A23-3A1;IL1B;RELA;TNF;TP53
102575-24-6	ADRA2A;ADRA2B;ADRA2C;CCND1
10262-69-8	ABCB11;ABCC2;BECN1;CASP3;KCNH2;MAPK1;MAPK3;NOS2;SLC22A2
102623-18-7	CXCL8
