253128-41-5	Microtubule Inhibitors
512-15-2	Muscarinic Antagonists; Mydriatics; Parasympatholytics
126-07-8	Anti-Bacterial Agents; Antifungal Agents
127779-20-8	HIV Protease Inhibitors
548-73-2	Adjuvants, Anesthesia; Antiemetics; Antipsychotic Agents; Dopamine Antagonists
15676-16-1	Antidepressive Agents; Antidepressive Agents, Second-Generation; Antipsychotic Agents; Dopamine Antagonists
62013-04-1	Anti-Infective Agents; Macrolides
57821-29-1	Anticoagulants; Antithrombins; Fibrinolytic Agents; Hypoglycemic Agents; Hypolipidemic Agents
85898-30-2	Anti-HIV Agents; Antineoplastic Agents
82034-46-6	Anti-Allergic Agents
36104-80-0	Benzodiazepines; Hypnotics and Sedatives; Neuromuscular Agents
4350-09-8	Antidepressive Agents, Second-Generation
1524-88-5	Anti-Inflammatory Agents; Glucocorticoids
139481-59-7	Angiotensin II Type 1 Receptor Blockers; Angiotensin Receptor Antagonists; Antihypertensive Agents
54-85-3	Antitubercular Agents; Fatty Acid Synthesis Inhibitors
103577-45-3	Anti-Infective Agents; Anti-Ulcer Agents; Enzyme Inhibitors; Proton Pump Inhibitors
56211-40-6	Antihypertensive Agents; Diuretics; Sodium Potassium Chloride Symporter Inhibitors
151319-34-5	Hypnotics and Sedatives
84449-90-1	Antihypocalcemic Agents; Bone Density Conservation Agents; Estrogen Antagonists; Selective Estrogen Receptor Modulators
1094-08-2	Adrenergic Antagonists; Antidyskinetics; Histamine Antagonists; Muscarinic Antagonists
50936-59-9	Enzyme Replacement Agents
66722-44-9	Adrenergic beta-1 Receptor Antagonists; Antihypertensive Agents; Sympatholytics
143003-46-7	Enzyme Replacement Agents
82619-04-3	Anti-Bacterial Agents; Cephalosporins
4759-48-2	Anti-Acne Preparations; Skin and Mucous Membrane Agents
75567-37-2	Antineoplastic Agents
36735-22-5	Benzodiazepines; Hypnotics and Sedatives
84057-84-1	Anticonvulsants; Antidepressive Agents; Calcium Channel Blockers
22345-47-7	Antidepressive Agents; Benzodiazepines
114977-28-5	Antineoplastic Agents
15663-27-1	Antineoplastic Agents; Cross-Linking Reagents; Radiation-Sensitizing Agents
37517-28-5	Aminoglycosides; Anti-Bacterial Agents
76963-41-2	Anti-Ulcer Agents; Histamine H2 Antagonists
58-38-8	Antiemetics; Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
83881-51-0	Anti-Allergic Agents; Histamine Antagonists; Histamine H1 Antagonists, Non-Sedating
92206-54-7	Antidyskinetics
18883-66-4	Antibiotics; Antibiotics, Antineoplastic
113-18-8	Hypnotics and Sedatives
69712-56-7	Anti-Bacterial Agents; Cephalosporins
1668-19-5	Adrenergic Uptake Inhibitors; Antidepressive Agents
850649-61-5	Antidiabetic Agents; Dipeptidyl-Peptidase IV Inhibitors
34841-39-9	Antidepressive Agents, Second-Generation; Dopamine Uptake Inhibitors
74899-72-2	Antiviral Agents; Immunologic Factors; Immunosuppressive Agents
25395-32-8	Anti-Arrhythmia Agents; Cardiotonic Agents; Enzyme Inhibitors
51-49-0	Hypolipidemic Agents
50-60-2	Adrenergic alpha-Antagonists; Antihypertensive Agents
81409-90-7	Antineoplastic Agents; Antiparkinson Agents; Dopamine Agonists
159351-69-6	Immunosuppressive Agents
5534-09-8	Anti-Arrhythmia Agents; Corticosteroids
5250-39-5	Anti-Bacterial Agents; Penicillins
77-21-4	Hypnotics and Sedatives
105816-04-4	Hypoglycemic Agents; Meglitinides
54-31-9	Diuretics; Sodium Potassium Chloride Symporter Inhibitors
118-42-3	Antimalarials; Antirheumatic Agents; Enzyme Inhibitors
488712-31-8	Adjuvants, Anesthesia; Permeabilizing Agents
83712-60-1	Antithrombins
23092-17-3	Anti-Anxiety Agents; Benzodiazepines; Hypnotics and Sedatives; Neuromuscular Agents
67-96-9	Antihypocalcemic Agents; Antithyroid Agents; Bone Density Conservation Agents; Vitamin D; Vitamins
87333-19-5	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
201530-41-8	Iron Chelating Agents
32986-56-4	Aminoglycosides; Anti-Bacterial Agents
143322-58-1	Anti-migraine Agents; Serotonin Antagonists; Serotonin Receptor Agonists
53-19-0	Antineoplastic Agents, Hormonal
91-84-9	Anti-Allergic Agents; Histamine Antagonists; Histamine H1 Antagonists
112965-21-6	Antipsoriatic Agents; Dermatologic Agents
