Category	Term	Count	%	PValue	CASRNs	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
TOXPRINT_STRUCTURE	bond:COH_alcohol_aromatic_phenol	13	92.8571428571429	2.59204457148387e-13	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	750	8337	11.116	1	1.78851075432387e-10	2.59204457148387e-13
TOXPRINT_STRUCTURE	bond:COH_alcohol_aromatic	13	92.8571428571429	4.16415955185789e-13	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	780	8337	10.6884615384615	1	2.86910593123008e-10	4.16415955185789e-13
HTS_ACTIVE	agonism_ER/partial	11	78.5714285714286	7.2815321447949e-10	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 79-97-0	13	344	4173	10.2645348837209	1	5.00969411561889e-07	7.2815321447949e-10
TOXCAST_ACTIVE	NVS_NR_hER	9	64.2857142857143	7.72272387396501e-09	80-09-1, 80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	170	1723	10.1352941176471	1	5.30551130141396e-06	7.72272387396501e-09
TOXCAST_ACTIVE	NVS_NR_bER	8	57.1428571428571	1.48255374972358e-08	80-09-1, 80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	101	1723	15.1639163916392	1	1.01703187231038e-05	1.48255374972358e-08
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ph-C1-Ph	8	57.1428571428571	2.04060620391688e-08	80-05-7, 77-40-7, 5613-46-7, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 79-97-0	13	264	8337	19.4335664335664	1	1.39781524968306e-05	2.04060620391688e-08
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ar-C-Ar	8	57.1428571428571	8.40922187685672e-08	80-05-7, 77-40-7, 5613-46-7, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 79-97-0	13	324	8337	15.8347578347578	1	5.75190776377e-05	8.40922187685672e-08
TOXPRINT_STRUCTURE	bond:COH_alcohol_generic	13	92.8571428571429	9.99144818328873e-08	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	2180	8337	3.82431192660551	1	6.8241591091862e-05	9.99144818328873e-08
TOXCAST_ACTIVE	NVS_NR_mERa	8	57.1428571428571	4.06660684895471e-07	80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	161	1723	9.5127674258109	1	0.000277342587098711	4.06660684895471e-07
MULTICASE_TOX_PREDICTION	OCT1 substrates	13	92.8571428571429	5.14602236163802e-07	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	2407	8032	3.33693394266722	1	0.000350444122827549	5.14602236163802e-07
MESH	Benzene Derivatives	9	64.2857142857143	7.95560529612862e-07	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 843-55-0	10	730	5450	6.71917808219178	1	0.000540981160136746	7.95560529612862e-07
TOXCAST_ACTIVE	OT_ER_ERaERa_1440	7	50	1.58029031177985e-06	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	111	1723	12.0730730730731	1	0.00107301712169852	1.58029031177985e-06
TOXPRINT_STRUCTURE	chain:alkaneBranch_neopentyl_C5	9	64.2857142857143	3.45575277391485e-06	80-05-7, 77-40-7, 5613-46-7, 1478-61-1, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	838	8337	6.88755278134753	1	0.00234300038071427	3.45575277391485e-06
TOXCAST_ACTIVE	NVS_NR_rAR	7	50	5.82747454288028e-06	80-05-7, 77-40-7, 41481-66-7, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	138	1723	9.7109500805153	1	0.00394520026552995	5.82747454288028e-06
TOXCAST_ACTIVE	OT_ER_ERaERa_0480	7	50	6.08386871299061e-06	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	139	1723	9.64108713029576	1	0.00411269524998165	6.08386871299061e-06
HTS_ACTIVE	agonism_ER/full	10	71.4285714285714	6.09482825667923e-06	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 843-55-0, 79-97-0	13	637	4173	5.0392464678179	1	0.00411400907325848	6.09482825667923e-06
MESH	Hydrocarbons, Aromatic	9	64.2857142857143	7.95488242415431e-06	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 843-55-0	10	978	5450	5.01533742331288	1	0.00536159075388001	7.95488242415431e-06
TOXCAST_ACTIVE	Tox21_GR_BLA_Antagonist_ratio	7	50	9.19996406005926e-06	80-05-7, 77-40-7, 41481-66-7, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	149	1723	8.99403430275913	1	0.00619157581241988	9.19996406005926e-06
TOXCAST_ACTIVE	ATG_Pax6_CIS_up	8	57.1428571428571	9.58664743271593e-06	80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	253	1723	6.05357927097058	1	0.0064422270747851	9.58664743271593e-06
HTS_ACTIVE	antagonism_PPARg	8	57.1428571428571	1.14724878709259e-05	80-05-7, 77-40-7, 41481-66-7, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 79-97-0	13	336	4173	7.64285714285714	1	0.00769803936139125	1.14724878709259e-05
MULTICASE_TOX_PREDICTION	MRP1 substrates	13	92.8571428571429	1.21073508841796e-05	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	3130	8032	2.56613418530351	1	0.00811192509240035	1.21073508841796e-05
LEADSCOPE_TOXICITY	Reproductive Toxicity -repro mouse female	7	50	1.67244769006714e-05	80-05-7, 77-40-7, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7	13	402	7444	9.97091465748182	1	0.0111886750465491	1.67244769006714e-05
HTS_ACTIVE	inhibition_MMP	11	78.5714285714286	1.77964567299654e-05	80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	967	4173	3.65149948293692	1	0.0118880330956169	1.77964567299654e-05
MESH	Hydrocarbons, Cyclic	9	64.2857142857143	2.06736833711399e-05	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 843-55-0	10	1105	5450	4.43891402714932	1	0.0137893468085503	2.06736833711399e-05
TOXCAST_ACTIVE	Tox21_PPARg_BLA_antagonist_ratio	7	50	2.22788030387096e-05	80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 79-95-8, 79-94-7	9	173	1723	7.74630700064226	1	0.0148376828237806	2.22788030387096e-05
TOXCAST_ACTIVE	ATG_ERa_TRANS_up	9	64.2857142857143	2.93465409554846e-05	80-09-1, 80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	470	1723	3.66595744680851	1	0.0195154497353973	2.93465409554846e-05
MULTICASE_TOX_PREDICTION	ARE activation in keratinocytes at 1mM	13	92.8571428571429	2.99549607663553e-05	80-09-1, 80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 843-55-0, 79-97-0	13	3375	8032	2.37985185185185	1	0.0198900939488599	2.99549607663553e-05
LEADSCOPE_TOXICITY	Developmental Toxicity-retardation rat	9	64.2857142857143	3.16681056564713e-05	80-05-7, 77-40-7, 5613-46-7, 1478-61-1, 620-92-8, 57-63-6, 79-95-8, 79-94-7, 79-97-0	13	1003	7444	5.13812408927065	1	0.0209959540502405	3.16681056564713e-05
MESH	Phenols	6	42.8571428571429	3.42329872413766e-05	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 79-95-8	10	276	5450	11.8478260869565	1	0.0226622375537913	3.42329872413766e-05
MESH	Benzhydryl Compounds	4	28.5714285714286	3.71918091439965e-05	80-05-7, 77-40-7, 620-92-8, 843-55-0	10	43	5450	50.6976744186046	1	0.0245837858441817	3.71918091439965e-05
CTD_CHEMICALS_DISEASES	Branchio-Oto-Renal Syndrome	3	21.4285714285714	4.68216237512105e-05	80-09-1, 79-95-8, 79-94-7	6	19	8530	224.473684210526	1	0.0309022716757989	4.68216237512105e-05
TOXCAST_ACTIVE	Tox21_ERa_BLA_Agonist_ratio	6	42.8571428571429	4.8700782628404e-05	80-09-1, 80-05-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	111	1723	10.3483483483483	1	0.0320938157521182	4.8700782628404e-05
TOXCAST_ACTIVE	OT_ER_ERaERb_1440	7	50	6.39063909549261e-05	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	207	1723	6.47396672034353	1	0.0420504052483414	6.39063909549261e-05
CTD_CHEM2DISEASE	Weight Gain	4	28.5714285714286	6.98730365129637e-05	80-05-7, 57-63-6, 79-95-8, 79-94-7	6	106	5441	34.2201257861635	1	0.0459065849890171	6.98730365129637e-05
CTD_CHEMICALS_DISEASES	Obesity, Morbid	4	28.5714285714286	7.68621887282786e-05	80-09-1, 80-05-7, 57-63-6, 79-94-7	6	171	8530	33.2553606237817	1	0.0504215958057508	7.68621887282786e-05
TOXCAST_ACTIVE	ATG_HSE_CIS_up	7	50	8.41656536449125e-05	80-05-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	217	1723	6.17562724014337	1	0.0551285031374177	8.41656536449125e-05
TOXCAST_ACTIVE	OT_ER_ERaERb_0480	7	50	0.000101257678839203	80-09-1, 80-05-7, 77-40-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8	9	224	1723	5.98263888888889	1	0.0662225219608389	0.000101257678839203
TOXCAST_ACTIVE	Tox21_MitochondrialToxicity_ratio	8	57.1428571428571	0.000121866728586389	80-05-7, 77-40-7, 41481-66-7, 94-18-8, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	366	1723	4.18457802064359	1	0.0795789737669122	0.000121866728586389
TOXCAST_ACTIVE	NVS_NR_hGR	7	50	0.000130506403060944	80-05-7, 77-40-7, 41481-66-7, 1478-61-1, 57-63-6, 79-95-8, 79-94-7	9	234	1723	5.72697056030389	1	0.0850901747957352	0.000130506403060944
TOXPRINT_STRUCTURE	chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd	10	71.4285714285714	0.000139175685131929	80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 94-18-8, 1478-61-1, 620-92-8, 79-95-8, 79-94-7, 79-97-0	13	1840	8337	3.48536789297659	1	0.0906033710208855	0.000139175685131929
HTS_ACTIVE	antagonism_AR/full/run1	8	57.1428571428571	0.000139539251498303	80-05-7, 77-40-7, 5613-46-7, 41481-66-7, 1478-61-1, 57-63-6, 79-94-7, 79-97-0	13	491	4173	5.23014256619145	1	0.0907005134738967	0.000139539251498303
