Annotation Cluster 1	Enrichment Score: 4.24274965586001
Category	Term	Count	%	PValue	CASRNs	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
MESH	Organophosphorus Compounds	7	58.3333333333333	8.57944930512421e-09	1241-94-7, 56803-37-3, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	145	5450	29.2337164750958	1	3.5089947657958e-06	8.57944930512421e-09
HTS_ACTIVE	cytotoxicity_RXR/agonism	9	75	0.000335198188493993	1241-94-7, 56803-37-3, 115-86-6, 29761-21-5, 68937-41-7, 13674-87-8, 5436-43-1, 78-30-8, 79-94-7	10	1213	4173	3.0962077493817	1	0.132738482643621	0.000335198188493993
MESH	Organic Chemicals	9	75	0.065011465652838	1241-94-7, 56803-37-3, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 5436-43-1, 78-30-8, 79-94-7	9	3766	5450	1.44715878916622	1	1	0.065011465652838

Annotation Cluster 2	Enrichment Score: 3.53509781288189
Category	Term	Count	%	PValue	CASRNs	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
TOXPRINT_STRUCTURE	bond:P=O_phosphate	9	75	1.67642841550388e-14	1241-94-7, 56803-37-3, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 68937-41-7, 13674-87-8, 78-30-8	11	102	8337	66.8743315508021	1	6.89012078772095e-12	1.67642841550388e-14
TOXPRINT_STRUCTURE	bond:P=O_phosphorus_oxo	9	75	1.67693881927747e-12	1241-94-7, 56803-37-3, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 68937-41-7, 13674-87-8, 78-30-8	11	179	8337	38.1071609954292	1	6.87544915903764e-10	1.67693881927747e-12
MESH	Organophosphorus Compounds	7	58.3333333333333	8.57944930512421e-09	1241-94-7, 56803-37-3, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	145	5450	29.2337164750958	1	3.5089947657958e-06	8.57944930512421e-09
LEADSCOPE_TOXICITY	Reproductive Toxicity -sperm ratPositive	7	58.3333333333333	1.59848627573718e-07	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	321	7444	18.036690896504	1	6.52182400500768e-05	1.59848627573718e-07
MULTICASE_TOX_PREDICTION	RCA fetal weight decrease, mouse	8	66.6666666666667	7.79596203552689e-07	1241-94-7, 56803-37-3, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 68937-41-7, 13674-87-8	11	561	8032	10.4125749473343	1	0.000317295654845944	7.79596203552689e-07
LEADSCOPE_TOXICITY	Reproductive Toxicity -sperm rodent	7	58.3333333333333	3.1600790930524e-05	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	786	7444	7.36612948826689	1	0.0127983203268622	3.1600790930524e-05
LEADSCOPE_TOXICITY	Reproductive Toxicity -repro rat male	7	58.3333333333333	3.55318197124146e-05	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	802	7444	7.21917428650596	1	0.0143548551638155	3.55318197124146e-05
TOXPRINT_STRUCTURE	bond:P=O_phosphate_alkyl_ester	4	33.3333333333333	7.70420895068242e-05	1241-94-7, 115-96-8, 29761-21-5, 13674-87-8	11	74	8337	40.968058968059	1	0.0310479620712502	7.70420895068242e-05
MULTICASE_TOX_PREDICTION	RCA fetal death, mouse	9	75	9.73685168127724e-05	1241-94-7, 56803-37-3, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 68937-41-7, 13674-87-8, 78-30-8	11	1657	8032	3.96598452844681	1	0.0391421437587345	9.73685168127724e-05
LEADSCOPE_TOXICITY	Genetic Toxicity -mam. mutation	7	58.3333333333333	0.000114741445123192	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	982	7444	5.8959040506902	1	0.0458965780492767	0.000114741445123192
HTS_ACTIVE	cytotoxicity_MMP/inhibition	8	66.6666666666667	0.000158720865953041	1241-94-7, 56803-37-3, 1330-78-5, 115-86-6, 29761-21-5, 68937-41-7, 13674-87-8, 78-30-8	10	755	4173	4.42172185430464	1	0.0631709046493103	0.000158720865953041
MULTICASE_TOX_PREDICTION	MRP5 substrates	8	66.6666666666667	0.000370638955610019	56803-37-3, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 68937-41-7, 13674-87-8, 78-30-8	11	1410	8032	4.14287556415216	1	0.146402387465957	0.000370638955610019
LEADSCOPE_TOXICITY	Genetic Toxicity -mam. mutation DL	7	58.3333333333333	0.000372237715240919	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 29761-21-5, 13674-87-8, 78-30-8	9	1206	7444	4.80081076100977	1	0.146661659804922	0.000372237715240919
TOXCAST_ACTIVE	ATG_PXR_TRANS_up	6	50	0.00213268995856035	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 13674-87-8, 79-94-7	6	505	1723	3.41188118811881	1	0.827483703921416	0.00213268995856035
LEADSCOPE_TOXICITY	Reproductive Toxicity -repro rodent male	6	50	0.00397137093481346	1241-94-7, 1330-78-5, 115-86-6, 115-96-8, 13674-87-8, 78-30-8	9	1202	7444	4.12867443150305	1	1	0.00397137093481346
